"block","patch","corner","distance","species","stalk","no.viable_seeds","no.nonviable_seeds","notes","dispersed_percent","plant_ID","ptype","live","reproductive","length","width","height","no_basal_fl","no_axil_fl","predisp_seedpred","flags","Flag.Notes","dist_num"
"8","A","I","c","Anthaenantia",2,"74","14",NA,NA,"AV.8.A.I.c","Center",1,1,"49","65","16.5","30",NA,"0","0",NA,19
"8","A","I","c","Anthaenantia",3,"67","1",NA,NA,"AV.8.A.I.c","Center",1,1,"49","65","16.5","30",NA,"0","0",NA,19
"8","A","I","d","Liatris",1,"16","1",NA,NA,"LE.8.A.I.d","Center",1,1,"5","14","29","1","0","0","0",NA,36
"8","A","I","d","Liatris",2,"5","5",NA,NA,"LE.8.A.I.d","Center",1,1,"5","14","29","1","0","0","0",NA,36
"8","A","I","d","Liatris",3,NA,NA,NA,NA,"LE.8.A.I.d","Center",1,1,"5","14","29","1","0","0","0",NA,36
"8","A","I","d","Carphephorus",1,"1","16",NA,NA,"CB.8.A.I.d","Center",1,1,"18","14","8","2","17","0","0",NA,36
"8","A","I","d","Carphephorus",2,"0","17",NA,NA,"CB.8.A.I.d","Center",1,1,"18","14","8","2","17","0","0",NA,36
"8","A","I","d","Carphephorus",3,"1","8",NA,NA,"CB.8.A.I.d","Center",1,1,"18","14","8","2","17","0","0",NA,36
"8","A","I","d","Sorghastrum",1,"52","46",NA,NA,"SS.8.A.I.d","Center",1,1,"81","73","28","46",NA,"0.1","0",NA,36
"8","A","I","d","Sorghastrum",2,"48","46",NA,NA,"SS.8.A.I.d","Center",1,1,"81","73","28","46",NA,"0.1","0",NA,36
"8","A","I","d","Sorghastrum",3,"54","39",NA,NA,"SS.8.A.I.d","Center",1,1,"81","73","28","46",NA,"0.1","0",NA,36
"8","A","I","d","Aristida",1,"0","57",NA,NA,"AB.8.A.I.d","Center",1,1,"56","64","30","4",NA,"0.1","0",NA,36
"8","A","I","d","Aristida",2,"0","17","herbivory or dispersed prior to collecting stalk",NA,"AB.8.A.I.d","Center",1,1,"56","64","30","4",NA,"0.1","0",NA,36
"8","A","I","d","Aristida",3,"0","48",NA,NA,"AB.8.A.I.d","Center",1,1,"56","64","30","4",NA,"0.1","0",NA,36
"8","A","I","d","Anthaenantia",1,"147","20",NA,NA,"AV.8.A.I.d","Center",1,NA,"29","25","9",NA,NA,"0","5",NA,36
"8","A","I","d","Anthaenantia",2,"74","9",NA,NA,"AV.8.A.I.d","Center",1,NA,"29","25","9",NA,NA,"0","5",NA,36
"8","A","I","d","Anthaenantia",3,"79","12",NA,NA,"AV.8.A.I.d","Center",1,NA,"29","25","9",NA,NA,"0","5",NA,36
"8","A","II","a","Liatris",1,NA,NA,NA,NA,"LE.8.A.II.a","Center",1,0,"17","20","6.5","0",NA,NA,"0",NA,0
"8","A","II","a","Liatris",2,NA,NA,NA,NA,"LE.8.A.II.a","Center",1,0,"17","20","6.5","0",NA,NA,"0",NA,0
"8","A","II","a","Liatris",3,NA,NA,NA,NA,"LE.8.A.II.a","Center",1,0,"17","20","6.5","0",NA,NA,"0",NA,0
"8","A","II","a","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.II.a","Center",1,0,"8","5.5","2","0",NA,NA,"0",NA,0
"8","A","II","a","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.II.a","Center",1,0,"8","5.5","2","0",NA,NA,"0",NA,0
"8","A","II","a","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.II.a","Center",1,0,"8","5.5","2","0",NA,NA,"0",NA,0
"8","A","II","a","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.II.a","Center",1,0,"4","4","9","0",NA,NA,"0",NA,0
"8","A","II","a","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.II.a","Center",1,0,"4","4","9","0",NA,NA,"0",NA,0
"8","A","II","a","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.II.a","Center",1,0,"4","4","9","0",NA,NA,"0",NA,0
"8","A","II","a","Aristida",1,NA,NA,NA,NA,"AB.8.A.II.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","II","a","Aristida",2,NA,NA,NA,NA,"AB.8.A.II.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","II","a","Aristida",3,NA,NA,NA,NA,"AB.8.A.II.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","II","a","Anthaenantia",1,NA,NA,NA,NA,"AV.8.A.II.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","II","a","Anthaenantia",2,NA,NA,NA,NA,"AV.8.A.II.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","II","a","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.II.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
"8","A","II","b","Liatris",1,NA,NA,NA,NA,"LE.8.A.II.b","Center",1,0,"10","2","2","0",NA,NA,"0",NA,10
"8","A","II","b","Liatris",2,NA,NA,NA,NA,"LE.8.A.II.b","Center",1,0,"10","2","2","0",NA,NA,"0",NA,10
"8","A","II","b","Liatris",3,NA,NA,NA,NA,"LE.8.A.II.b","Center",1,0,"10","2","2","0",NA,NA,"0",NA,10
"8","A","II","b","Carphephorus",1,"6","12",NA,NA,"CB.8.A.II.b","Center",1,1,"17","20","31","3","16","0.5","0",NA,10
"8","A","II","b","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.II.b","Center",1,1,"17","20","31","3","16","0.5","0",NA,10
"8","A","II","b","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.II.b","Center",1,1,"17","20","31","3","16","0.5","0",NA,10
"8","A","II","b","Sorghastrum",1,"0","135",NA,NA,"SS.8.A.II.b","Center",1,1,"43","49","31","6",NA,"0.2","0",NA,10
"8","A","II","b","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.II.b","Center",1,1,"43","49","31","6",NA,"0.2","0",NA,10
"8","A","II","b","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.II.b","Center",1,1,"43","49","31","6",NA,"0.2","0",NA,10
"8","A","II","b","Aristida",1,NA,NA,NA,NA,"AB.8.A.II.b","Center",1,0,"84","90","51","0",NA,NA,"0",NA,10
"8","A","II","b","Aristida",2,NA,NA,NA,NA,"AB.8.A.II.b","Center",1,0,"84","90","51","0",NA,NA,"0",NA,10
"8","A","II","b","Aristida",3,NA,NA,NA,NA,"AB.8.A.II.b","Center",1,0,"84","90","51","0",NA,NA,"0",NA,10
"8","A","II","b","Anthaenantia",1,"20","9",NA,NA,"AV.8.A.II.b","Center",1,1,"36","32","22","11",NA,"0.333333333","0",NA,10
"8","A","II","b","Anthaenantia",2,NA,NA,NA,NA,"AV.8.A.II.b","Center",1,1,"36","32","22","11",NA,"0.333333333","0",NA,10
"8","A","II","b","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.II.b","Center",1,1,"36","32","22","11",NA,"0.333333333","0",NA,10
"8","A","II","c","Liatris",1,NA,NA,NA,NA,"LE.8.A.II.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","II","c","Liatris",2,NA,NA,NA,NA,"LE.8.A.II.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","II","c","Liatris",3,NA,NA,NA,NA,"LE.8.A.II.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","II","c","Carphephorus",1,NA,NA,NA,NA,"CB.8.A.II.c","Center",1,0,"16","14","7.5","0",NA,NA,"0",NA,19
"8","A","II","c","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.II.c","Center",1,0,"16","14","7.5","0",NA,NA,"0",NA,19
"8","A","II","c","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.II.c","Center",1,0,"16","14","7.5","0",NA,NA,"0",NA,19
"8","A","II","c","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.II.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","II","c","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.II.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","II","c","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.II.c","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,19
"8","A","II","c","Aristida",1,"55","35",NA,NA,"AB.8.A.II.c","Center",1,1,"94","96","37","9",NA,"0","0",NA,19
"8","A","II","c","Aristida",2,"42","28",NA,NA,"AB.8.A.II.c","Center",1,1,"94","96","37","9",NA,"0","0",NA,19
"8","A","II","c","Aristida",3,NA,NA,NA,NA,"AB.8.A.II.c","Center",1,1,"94","96","37","9",NA,"0","0",NA,19
"8","A","II","c","Anthaenantia",1,"52","3",NA,NA,"AV.8.A.II.c","Center",1,1,"20","20","9","2",NA,"0","0",NA,19
"8","A","II","c","Anthaenantia",2,"50","3",NA,NA,"AV.8.A.II.c","Center",1,1,"20","20","9","2",NA,"0","0",NA,19
"8","A","II","c","Anthaenantia",3,NA,NA,NA,NA,"AV.8.A.II.c","Center",1,1,"20","20","9","2",NA,"0","0",NA,19
"8","A","II","d","Liatris",1,NA,NA,NA,NA,"LE.8.A.II.d","Center",1,0,"4","5.5","4","0",NA,NA,"0",NA,36
"8","A","II","d","Liatris",2,NA,NA,NA,NA,"LE.8.A.II.d","Center",1,0,"4","5.5","4","0",NA,NA,"0",NA,36
"8","A","II","d","Liatris",3,NA,NA,NA,NA,"LE.8.A.II.d","Center",1,0,"4","5.5","4","0",NA,NA,"0",NA,36
"8","A","II","d","Carphephorus",1,"1","25",NA,NA,"CB.8.A.II.d","Center",1,1,"24","23","26","4","14","0","0",NA,36
"8","A","II","d","Carphephorus",2,NA,NA,NA,NA,"CB.8.A.II.d","Center",1,1,"24","23","26","4","14","0","0",NA,36
"8","A","II","d","Carphephorus",3,NA,NA,NA,NA,"CB.8.A.II.d","Center",1,1,"24","23","26","4","14","0","0",NA,36
"8","A","II","d","Sorghastrum",1,NA,NA,NA,NA,"SS.8.A.II.d","Center",1,0,"17","13","17","0",NA,NA,"0",NA,36
"8","A","II","d","Sorghastrum",2,NA,NA,NA,NA,"SS.8.A.II.d","Center",1,0,"17","13","17","0",NA,NA,"0",NA,36
"8","A","II","d","Sorghastrum",3,NA,NA,NA,NA,"SS.8.A.II.d","Center",1,0,"17","13","17","0",NA,NA,"0",NA,36
"8","A","II","d","Aristida",1,"2","11","~10% dispersed",10,"AB.8.A.II.d","Center",1,1,"79","71","38","28",NA,"0.4","4",NA,36
"8","A","II","d","Aristida",2,NA,NA,NA,NA,"AB.8.A.II.d","Center",1,1,"79","71","38","28",NA,"0.4","4",NA,36
"8","A","II","d","Aristida",3,NA,NA,NA,NA,"AB.8.A.II.d","Center",1,1,"79","71","38","28",NA,"0.4","4",NA,36
"8","A","II","d","Anthaenantia",1,"3","99",NA,NA,"AV.8.A.II.d","Center",1,1,"38","34","17","30",NA,"0.2","0",NA,36
"8","A","II","d","Anthaenantia",2,"30","45",NA,NA,"AV.8.A.II.d","Center",1,1,"38","34","17","30",NA,"0.2","0",NA,36
"8","A","II","d","Anthaenantia",3,"0","106",NA,NA,"AV.8.A.II.d","Center",1,1,"38","34","17","30",NA,"0.2","0",NA,36
"8","A","III","a","Liatris",1,NA,NA,NA,NA,"LE.8.A.III.a","Center",0,NA,NA,NA,NA,NA,NA,NA,"0",NA,0
