Species,EU,Patch,Corner,Distance,Live/dead,Reproductive status,# Reproductive structures,Transplant notes,# recruits in plot,# recruits out of plot,Recruit notes
AB,10,A,I,b,1,1,200-300,,0,0,
AV,10,A,I,b,1,1,11-100,,0,0,
CB,10,A,I,b,1,1,100-200,,0,0,
GD,10,A,I,b,1,0,.,,0,0,
LE,10,A,I,b,1,0,.,,0,0,
NG,10,A,I,b,1,0,.,,0,0,
SS,10,A,I,b,1,0,.,,0,0,
AB,10,A,I,c,1,1,11-100,,0,0,
AV,10,A,I,c,1,1,11-100,,0,0,
CB,10,A,I,c,1,1,11-100,,0,0,
GD,10,A,I,c,0,.,.,,0,0,
LE,10,A,I,c,0,.,.,,0,0,
NG,10,A,I,c,1,1,"""1-10""",male,0,0,
SS,10,A,I,c,1,0,.,,0,0,
AB,10,A,I,d,1,1,100-200,,0,0,
AV,10,A,I,d,1,1,11-100,,0,0,
CB,10,A,I,d,1,1,11-100,,0,0,
GD,10,A,I,d,0,.,.,,0,0,
LE,10,A,I,d,0,.,.,,0,0,
NG,10,A,I,d,1,1,"""1-10""",male or last yr,0,0,
SS,10,A,I,d,0,.,.,,0,0,
AB,10,A,II,a,0,.,.,,0,0,
AV,10,A,II,a,1,1,"""1-10""",,0,0,
CB,10,A,II,a,1,1,11-100,,0,0,
GD,10,A,II,a,1,0,.,,0,0,
LE,10,A,II,a,0,.,.,,0,0,
NG,10,A,II,a,1,0,.,,0,0,
SS,10,A,II,a,1,0,.,,0,0,
AB,10,A,II,b,1,1,100-200,,0,0,
AV,10,A,II,b,1,1,11-100,,0,0,
CB,10,A,II,b,1,1,100-200,,0,0,
GD,10,A,II,b,1,0,.,,0,0,
LE,10,A,II,b,1,0,.,,0,0,
NG,10,A,II,b,1,0,.,,0,0,
SS,10,A,II,b,0,.,.,,0,0,
AB,10,A,II,c,1,1,100-200,,0,0,
AV,10,A,II,c,1,1,100-200,,0,0,
CB,10,A,II,c,1,1,11-100,,0,0,
GD,10,A,II,c,0,.,.,,0,0,
LE,10,A,II,c,0,.,.,,0,0,
NG,10,A,II,c,1,0,.,,0,0,
SS,10,A,II,c,1,0,.,,0,0,
AB,10,A,II,d,1,1,100-200,,0,0,
AV,10,A,II,d,1,1,"""1-10""",,0,0,
CB,10,A,II,d,1,1,11-100,,0,0,
GD,10,A,II,d,0,.,.,,0,0,
LE,10,A,II,d,0,.,.,,0,0,
NG,10,A,II,d,1,0,.,,0,0,
SS,10,A,II,d,0,.,.,,0,0,
AB,10,A,III,a,1,0,.,,0,0,
AV,10,A,III,a,1,1,"""1-10""",,0,0,
CB,10,A,III,a,1,0,.,,0,0,
GD,10,A,III,a,0,.,.,,0,0,
LE,10,A,III,a,1,0,.,,0,0,
NG,10,A,III,a,1,0,.,,0,0,
SS,10,A,III,a,1,1,"""1-10""",,0,0,
AB,10,A,III,b,1,1,"""1-10""",,0,0,
AV,10,A,III,b,1,1,11-100,,0,0,
CB,10,A,III,b,1,1,11-100,,0,0,
GD,10,A,III,b,0,.,.,,0,0,
LE,10,A,III,b,0,.,.,,0,0,
NG,10,A,III,b,0,.,.,,0,0,
SS,10,A,III,b,0,.,.,,0,0,
AB,10,A,III,c,1,1,200-300,,0,0,
AV,10,A,III,c,1,1,11-100,,0,0,
CB,10,A,III,c,1,1,11-100,,0,0,
GD,10,A,III,c,0,.,.,,0,0,
LE,10,A,III,c,1,0,.,,0,0,
NG,10,A,III,c,1,1,"""1-10""",male or last yr,0,0,
SS,10,A,III,c,1,0,.,,0,0,
AB,10,A,III,d,1,1,100-200,,0,0,
AV,10,A,III,d,1,1,11-100,,0,0,
CB,10,A,III,d,1,1,11-100,,0,0,
GD,10,A,III,d,0,.,.,,0,0,
LE,10,A,III,d,0,.,.,,0,0,
NG,10,A,III,d,1,1,"""1-10""",male or last yr,0,0,
SS,10,A,III,d,0,.,.,,0,0,
AB,10,A,IV,a,1,0,.,,0,0,
AV,10,A,IV,a,1,1,"""1-10""",,0,0,
CB,10,A,IV,a,1,0,.,,0,0,
GD,10,A,IV,a,1,0,.,,0,0,
LE,10,A,IV,a,0,.,.,,0,0,
NG,10,A,IV,a,1,0,.,,0,0,
SS,10,A,IV,a,1,1,"""1-10""",,0,0,
AB,10,A,IV,b,0,.,.,,0,0,
AV,10,A,IV,b,1,1,11-100,,0,0,
CB,10,A,IV,b,1,1,100-200,,0,0,
GD,10,A,IV,b,1,0,.,,0,0,
LE,10,A,IV,b,0,.,.,,0,0,
NG,10,A,IV,b,1,0,.,,0,0,
SS,10,A,IV,b,1,1,11-100,,0,0,
AB,10,A,IV,c,1,1,100-200,,0,0,
AV,10,A,IV,c,1,1,11-100,,0,0,
CB,10,A,IV,c,1,1,11-100,,0,0,
GD,10,A,IV,c,0,.,.,,0,0,
LE,10,A,IV,c,1,1,11-100,,0,0,
NG,10,A,IV,c,1,1,"""1-10""",male or this yr,0,0,
SS,10,A,IV,c,1,1,"""1-10""",,0,0,
AB,10,A,IV,d,1,1,100-200,,0,0,
AV,10,A,IV,d,1,1,11-100,,0,0,
CB,10,A,IV,d,1,1,11-100,,0,0,
GD,10,A,IV,d,0,.,.,,0,0,
LE,10,A,IV,d,0,.,.,,0,0,
NG,10,A,IV,d,1,1,"""1-10""",male or last yr,0,0,
SS,10,A,IV,d,1,0,.,,0,0,
AB,10,B,I,a,1,0,.,,0,0,
AV,10,B,I,a,1,1,"""1-10""",,0,0,
CB,10,B,I,a,1,0,.,,0,0,
GD,10,B,I,a,1,0,.,,0,0,
LE,10,B,I,a,1,0,.,,0,0,
NG,10,B,I,a,1,1,"""1-10""",male or last yr,0,0,
SS,10,B,I,a,1,1,"""1-10""",,0,0,
AB,10,B,I,b,1,1,11-100,,0,0,
AV,10,B,I,b,1,1,"""1-10""",,0,0,
CB,10,B,I,b,0,.,.,,0,0,
GD,10,B,I,b,.,.,.,,0,0,
LE,10,B,I,b,1,0,.,,0,0,
NG,10,B,I,b,1,1,"""1-10""",male,0,0,
SS,10,B,I,b,.,.,.,,0,0,
AB,10,B,I,c,1,1,300-400,,0,0,
AV,10,B,I,c,1,1,11-100,,0,0,
CB,10,B,I,c,1,1,11-100,,0,0,
GD,10,B,I,c,0,.,.,,0,0,
LE,10,B,I,c,0,.,.,,0,0,
NG,10,B,I,c,1,1,"""1-10""",male or last yr,0,0,
SS,10,B,I,c,1,0,.,,0,0,
AB,10,B,I,d,.,.,.,,0,0,
AV,10,B,I,d,.,.,.,,0,0,
CB,10,B,I,d,1,1,100-200,,0,0,
GD,10,B,I,d,0,.,.,,0,0,
LE,10,B,I,d,1,1,11-100,,0,0,
NG,10,B,I,d,1,1,"""1-10""",male or last yr,0,0,
SS,10,B,I,d,1,1,"""1-10""",,0,0,
AB,10,B,II,a,1,1,"""1-10""",,0,0,
AV,10,B,II,a,1,0,.,,0,0,
CB,10,B,II,a,1,0,11-100,,0,0,
GD,10,B,II,a,0,0,.,,0,0,
LE,10,B,II,a,.,.,.,,0,0,
NG,10,B,II,a,.,.,.,,0,0,
SS,10,B,II,a,.,.,.,,0,0,
AB,10,B,II,b,1,1,100-200,,0,0,
AV,10,B,II,b,1,1,11-100,,0,0,
CB,10,B,II,b,1,1,100-200,,0,0,
GD,10,B,II,b,.,.,.,,0,0,
LE,10,B,II,b,1,1,100-200,,4,0,
NG,10,B,II,b,1,0,.,,0,0,
SS,10,B,II,b,1,1,"""1-10""",,0,0,
AB,10,B,II,c,0,.,.,in road/plants look damaged,0,0,
AV,10,B,II,c,0,.,.,in road/plants look damaged,0,0,
CB,10,B,II,c,0,.,.,in road/plants look damaged,0,0,
GD,10,B,II,c,0,.,.,in road/plants look damaged,0,0,
LE,10,B,II,c,0,.,.,in road/plants look damaged,0,0,
NG,10,B,II,c,1,0,.,in road/plants look damaged,0,0,
SS,10,B,II,c,1,0,.,in road/plants look damaged,0,0,
AB,10,B,II,d,1,1,200-300,,0,0,
AV,10,B,II,d,1,1,11-100,,0,0,
CB,10,B,II,d,1,1,11-100,,0,0,
GD,10,B,II,d,1,0,.,,0,0,
LE,10,B,II,d,1,1,11-100,,0,0,
NG,10,B,II,d,1,1,"""1-10""",female,0,0,
SS,10,B,II,d,.,.,.,,0,0,
AB,10,B,III,a,1,1,"""1-10""",,0,0,
AV,10,B,III,a,1,1,"""1-10""",,0,0,
CB,10,B,III,a,1,1,11-100,,0,0,
GD,10,B,III,a,1,0,.,,0,0,
LE,10,B,III,a,1,0,.,,0,0,
NG,10,B,III,a,0,.,.,,0,0,
SS,10,B,III,a,1,0,.,,0,0,
AB,10,B,III,b,1,1,100-200,,0,0,
AV,10,B,III,b,1,1,11-100,,1,0,
CB,10,B,III,b,0,.,.,,0,0,
GD,10,B,III,b,0,.,.,,0,0,
LE,10,B,III,b,0,.,.,,0,0,
NG,10,B,III,b,1,1,"""1-10""",male or last yr,0,0,
SS,10,B,III,b,0,0,.,,0,0,
AB,10,B,III,c,1,1,11-100,,0,0,
AV,10,B,III,c,1,1,11-100,,0,0,
CB,10,B,III,c,1,1,200-300,,0,0,
GD,10,B,III,c,0,0,.,,0,0,
LE,10,B,III,c,0,.,.,,0,0,
NG,10,B,III,c,1,0,.,,0,0,
SS,10,B,III,c,1,0,.,,0,0,
AB,10,B,III,d,1,1,100-200,,0,0,
AV,10,B,III,d,0,.,.,,0,0,
CB,10,B,III,d,1,1,11-100,,0,0,
GD,10,B,III,d,0,.,.,,0,0,
LE,10,B,III,d,0,.,.,,0,0,
NG,10,B,III,d,1,0,.,,0,0,
SS,10,B,III,d,.,.,.,,0,0,
AB,10,B,IV,a,1,0,.,,0,0,
AV,10,B,IV,a,1,1,"""1-10""",,0,0,
CB,10,B,IV,a,1,1,11-100,,3,0,
GD,10,B,IV,a,1,0,.,,0,0,
LE,10,B,IV,a,1,0,.,,0,0,
NG,10,B,IV,a,1,0,.,,0,0,
SS,10,B,IV,a,1,1,"""1-10""",,0,0,
AB,10,B,IV,b,.,.,.,,0,0,
AV,10,B,IV,b,1,1,11-100,,0,0,
CB,10,B,IV,b,1,1,11-100,,0,0,
GD,10,B,IV,b,.,.,.,,0,0,
LE,10,B,IV,b,0,.,.,,0,0,
NG,10,B,IV,b,1,0,.,,0,0,
SS,10,B,IV,b,1,0,.,,0,0,
AB,10,B,IV,c,1,1,100-200,,0,0,
AV,10,B,IV,c,1,1,11-100,,0,0,
CB,10,B,IV,c,.,.,.,,0,0,
GD,10,B,IV,c,.,.,.,,0,0,
LE,10,B,IV,c,.,.,.,,0,0,
NG,10,B,IV,c,1,1,"""1-10""",5 repro/male,0,0,
SS,10,B,IV,c,0,.,.,,0,0,
AB,10,B,IV,d,1,1,100-200,,0,0,
AV,10,B,IV,d,1,1,"""1-10""",,0,0,
CB,10,B,IV,d,1,1,100-200,,0,0,
GD,10,B,IV,d,.,.,.,,0,0,
LE,10,B,IV,d,.,.,.,,0,0,
NG,10,B,IV,d,1,1,"""1-10""",male or last yr,0,0,
SS,10,B,IV,d,1,0,.,,0,0,
AB,10,C,I,a,1,0,.,,0,0,
AV,10,C,I,a,1,1,"""1-10""",,0,0,
CB,10,C,I,a,1,1,11-100,,0,0,
GD,10,C,I,a,1,0,.,,0,0,
LE,10,C,I,a,0,.,.,,0,0,
NG,10,C,I,a,0,.,.,,0,0,
SS,10,C,I,a,0,.,.,,0,0,
AB,10,C,I,b,1,1,"""1-10""",,0,0,
AV,10,C,I,b,1,1,11-100,,0,0,
CB,10,C,I,b,1,1,300-400,,0,0,
GD,10,C,I,b,0,.,.,,0,0,
LE,10,C,I,b,0,.,.,,0,0,
NG,10,C,I,b,1,0,.,,0,0,
SS,10,C,I,b,0,.,.,,0,0,
AB,10,C,I,c,1,1,11-100,,0,0,
AV,10,C,I,c,1,1,11-100,,0,0,
CB,10,C,I,c,1,1,11-100,,0,0,
GD,10,C,I,c,.,.,.,,0,0,
LE,10,C,I,c,1,1,11-100,,0,0,
NG,10,C,I,c,1,1,"""1-10""",male or last yr,0,0,
SS,10,C,I,c,1,0,.,,0,0,
AB,10,C,I,d,1,1,11-100,,0,0,
AV,10,C,I,d,1,1,11-100,,0,0,
CB,10,C,I,d,1,1,11-100,,0,0,
GD,10,C,I,d,.,.,.,,0,0,
LE,10,C,I,d,0,.,.,,0,0,
NG,10,C,I,d,1,0,.,,0,0,
SS,10,C,I,d,1,0,.,,0,0,
AB,10,C,II,a,0,.,.,,0,0,
AV,10,C,II,a,1,1,"""1-10""",,0,0,
CB,10,C,II,a,1,0,.,,0,0,
GD,10,C,II,a,0,.,.,,0,0,
LE,10,C,II,a,1,0,.,,0,0,
NG,10,C,II,a,1,0,.,,0,0,
SS,10,C,II,a,.,.,.,,0,0,
AB,10,C,II,b,1,1,100-200,,0,0,
AV,10,C,II,b,1,1,11-100,,0,0,
CB,10,C,II,b,1,1,200-300,,0,0,
GD,10,C,II,b,1,0,.,,0,0,
LE,10,C,II,b,0,.,.,,0,0,
NG,10,C,II,b,1,0,.,,0,0,
SS,10,C,II,b,0,.,.,,0,0,
AB,10,C,II,c,1,1,200-300,,0,0,
AV,10,C,II,c,1,1,11-100,,0,0,
CB,10,C,II,c,1,1,100-200,,0,0,
GD,10,C,II,c,.,.,.,,0,0,
LE,10,C,II,c,0,.,.,,0,0,
NG,10,C,II,c,1,1,"""1-10""",male or last yr,0,0,
SS,10,C,II,c,1,0,.,,0,0,
AB,10,C,II,d,1,1,"""1-10""",,0,0,
AV,10,C,II,d,1,1,"""1-10""",,0,0,
CB,10,C,II,d,1,1,"""1-10""",,0,0,
GD,10,C,II,d,0,.,.,,0,0,
LE,10,C,II,d,.,.,.,,0,0,
NG,10,C,II,d,1,0,.,,0,0,
SS,10,C,II,d,1,1,"""1-10""",,0,0,
AB,10,C,III,a,1,0,.,,0,0,
AV,10,C,III,a,1,0,.,,0,0,
CB,10,C,III,a,1,0,.,,0,0,
GD,10,C,III,a,1,0,.,,0,0,
LE,10,C,III,a,0,.,.,,0,0,
NG,10,C,III,a,1,0,.,,0,0,
SS,10,C,III,a,1,1,"""1-10""",,0,0,
AB,10,C,III,b,1,1,"""1-10""",,0,0,
AV,10,C,III,b,.,.,.,,0,0,
CB,10,C,III,b,1,1,11-100,,0,0,
GD,10,C,III,b,0,.,.,,0,0,
LE,10,C,III,b,.,.,.,,0,0,
NG,10,C,III,b,1,0,.,,0,0,
SS,10,C,III,b,1,1,"""1-10""",,0,0,
AB,10,C,III,c,1,1,"""1-10""",,0,0,
AV,10,C,III,c,0,.,.,,0,0,
CB,10,C,III,c,1,1,"""11-100""",,0,0,
GD,10,C,III,c,.,.,.,,0,0,
LE,10,C,III,c,1,0,.,,0,0,
NG,10,C,III,c,1,0,.,,0,0,
SS,10,C,III,c,1,1,"""1-10""",,0,0,
AB,10,C,III,d,0,0,.,,0,0,
AV,10,C,III,d,1,1,"""1-10""",,0,0,
CB,10,C,III,d,1,1,100-200,,0,0,
GD,10,C,III,d,0,.,.,,0,0,
LE,10,C,III,d,0,.,.,,0,0,
NG,10,C,III,d,0,.,.,,0,0,
SS,10,C,III,d,1,0,.,,0,0,
AB,10,C,IV,a,1,0,.,,0,0,
AV,10,C,IV,a,1,1,"""1-3""",,0,0,
CB,10,C,IV,a,1,1,100-200,,0,0,
GD,10,C,IV,a,1,0,.,,0,0,
LE,10,C,IV,a,1,0,.,,0,0,
NG,10,C,IV,a,0,.,.,,0,0,
SS,10,C,IV,a,1,1,"""1-10""",,0,0,
AB,10,C,IV,b,1,1,100-200,,0,0,
AV,10,C,IV,b,1,1,11-100,,0,0,
CB,10,C,IV,b,1,1,100-200,,0,0,
GD,10,C,IV,b,0,.,.,,0,0,
LE,10,C,IV,b,0,.,.,,0,0,
NG,10,C,IV,b,1,0,.,,0,0,
SS,10,C,IV,b,1,0,.,,0,0,
AB,10,C,IV,c,1,1,100-200,,0,0,
AV,10,C,IV,c,1,1,11-100,,0,0,
CB,10,C,IV,c,1,1,11-100,,0,0,
GD,10,C,IV,c,.,.,.,,0,0,
LE,10,C,IV,c,0,.,.,,0,0,
NG,10,C,IV,c,1,0,.,,0,0,
SS,10,C,IV,c,1,0,.,,0,0,
AB,10,C,IV,d,1,1,11-100,,0,0,
AV,10,C,IV,d,1,1,11-100,,0,0,
CB,10,C,IV,d,1,1,200-300,,0,0,
GD,10,C,IV,d,.,.,.,,0,0,
LE,10,C,IV,d,0,0,.,,0,0,
NG,10,C,IV,d,1,0,.,,0,0,
SS,10,C,IV,d,1,0,.,,0,0,
AB,10,D,I,a,1,0,.,,0,0,
AV,10,D,I,a,1,1,"""1-10""",,0,0,
CB,10,D,I,a,1,1,11-100,,0,0,
GD,10,D,I,a,1,0,.,,0,0,
LE,10,D,I,a,1,1,11-100,,0,0,
NG,10,D,I,a,1,1,1,male,0,0,
SS,10,D,I,a,1,1,"""1-10""",,0,0,
AB,10,D,I,b,1,1,100-200,,0,0,
AV,10,D,I,b,0,.,.,,0,0,
CB,10,D,I,b,1,1,100-200,,0,0,
GD,10,D,I,b,1,0,.,,0,0,
LE,10,D,I,b,1,1,11-100,,0,0,
NG,10,D,I,b,1,0,.,,0,0,
SS,10,D,I,b,1,0,.,,0,0,
AB,10,D,I,c,1,1,100-200,,0,0,
AV,10,D,I,c,1,1,11-100,,0,0,
CB,10,D,I,c,1,0,.,,0,0,
GD,10,D,I,c,0,.,.,,0,0,
LE,10,D,I,c,.,.,.,,0,0,
NG,10,D,I,c,1,0,.,,0,0,
SS,10,D,I,c,1,0,.,,0,0,
AB,10,D,I,d,1,1,200-300,,0,0,
AV,10,D,I,d,1,1,11-100,,0,0,
CB,10,D,I,d,1,1,11-100,,0,0,
GD,10,D,I,d,0,.,.,,0,0,
LE,10,D,I,d,0,.,.,,0,0,
NG,10,D,I,d,1,1,"""1-10""",female,0,0,
SS,10,D,I,d,1,1,"""1-10""",,0,0,
AB,10,D,II,a,1,0,.,,0,0,
AV,10,D,II,a,.,.,.,,0,0,
CB,10,D,II,a,1,0,.,,0,0,
GD,10,D,II,a,1,0,.,,0,0,
LE,10,D,II,a,0,0,.,,0,0,
NG,10,D,II,a,1,0,.,,0,0,
SS,10,D,II,a,1,0,"""1-10""",,0,0,
AB,10,D,II,b,1,1,200-300,,0,0,
AV,10,D,II,b,1,1,11-100,,0,0,
CB,10,D,II,b,1,1,11-100,,0,0,
GD,10,D,II,b,.,.,.,,0,0,
LE,10,D,II,b,1,0,.,,0,0,
NG,10,D,II,b,1,0,.,,0,0,
SS,10,D,II,b,1,0,.,,0,0,
AB,10,D,II,c,1,1,200-300,,0,2,
AV,10,D,II,c,1,1,11-100,,0,4,
CB,10,D,II,c,1,1,300-400,,0,0,
GD,10,D,II,c,0,0,.,,0,0,
LE,10,D,II,c,.,.,.,,0,0,
NG,10,D,II,c,1,0,.,,0,0,
SS,10,D,II,c,1,0,.,,0,0,
AB,10,D,II,d,1,0,.,,0,0,
AV,10,D,II,d,1,1,11-100,,0,0,
CB,10,D,II,d,1,1,100-200,,1,0,
GD,10,D,II,d,.,.,.,,0,0,
LE,10,D,II,d,.,.,.,,0,0,
NG,10,D,II,d,1,0,.,,0,0,
SS,10,D,II,d,0,.,.,,0,0,
AB,10,D,III,a,0,0,.,,0,0,
AV,10,D,III,a,1,1,11-100,,0,0,
CB,10,D,III,a,0,.,.,,0,0,
GD,10,D,III,a,1,0,.,,0,0,
LE,10,D,III,a,0,.,.,,0,0,
NG,10,D,III,a,1,0,.,,0,0,
SS,10,D,III,a,1,0,.,,0,0,
AB,10,D,III,b,1,1,11-100,,0,0,
AV,10,D,III,b,1,1,11-100,,0,0,
CB,10,D,III,b,1,1,100-200,,0,0,
GD,10,D,III,b,0,.,.,,0,0,
LE,10,D,III,b,1,1,1-100,,0,0,
NG,10,D,III,b,0,.,.,,0,0,
SS,10,D,III,b,1,0,.,,0,0,
AB,10,D,III,c,1,1,100-200,,0,0,
AV,10,D,III,c,1,1,11-100,,0,0,
CB,10,D,III,c,.,.,.,,0,0,
GD,10,D,III,c,0,.,.,,0,0,
LE,10,D,III,c,0,.,.,,0,0,
NG,10,D,III,c,1,1,1,male or last yr,0,0,
SS,10,D,III,c,.,.,.,,0,0,
AB,10,D,III,d,0,.,.,,0,0,
AV,10,D,III,d,1,1,11-100,,0,0,
CB,10,D,III,d,0,.,.,,0,0,
GD,10,D,III,d,0,.,.,,0,0,
LE,10,D,III,d,1,1,11-100,,0,0,
NG,10,D,III,d,1,0,.,,0,0,
SS,10,D,III,d,1,1,"""1-10""",,0,0,
AB,10,D,IV,a,1,0,.,,0,0,
AV,10,D,IV,a,0,.,.,,0,0,
CB,10,D,IV,a,1,0,.,,0,0,
GD,10,D,IV,a,1,0,.,,0,0,
LE,10,D,IV,a,1,1,11-100,,0,0,
NG,10,D,IV,a,1,0,.,,0,0,
SS,10,D,IV,a,1,1,"""1-10""",,0,0,
AB,10,D,IV,b,1,1,100-200,,0,0,
AV,10,D,IV,b,1,1,"""1-10""",,0,0,
CB,10,D,IV,b,1,1,100-200,,4,0,
GD,10,D,IV,b,1,0,.,,0,0,
LE,10,D,IV,b,1,0,.,,0,0,
NG,10,D,IV,b,1,1,1,male,0,0,
SS,10,D,IV,b,1,0,.,,0,0,
AB,10,D,IV,c,1,1,200-300,,0,0,
AV,10,D,IV,c,1,1,11-100,,0,0,
CB,10,D,IV,c,1,1,11-100,,0,0,
GD,10,D,IV,c,0,.,.,,0,0,
LE,10,D,IV,c,1,0,.,,0,0,
NG,10,D,IV,c,0,.,.,,0,0,
SS,10,D,IV,c,1,0,.,,0,0,
AB,10,D,IV,d,1,1,11-100,,0,0,
AV,10,D,IV,d,1,1,11-100,,0,0,
CB,10,D,IV,d,1,1,11-100,,0,0,
GD,10,D,IV,d,0,.,.,,0,0,
LE,10,D,IV,d,1,0,.,,0,0,
NG,10,D,IV,d,1,1,0,male or last yr,0,0,
SS,10,D,IV,d,1,0,.,,0,0,
AB,10,E,I,a,1,0,.,,0,0,
AV,10,E,I,a,1,1,"""1-10""",,0,0,
CB,10,E,I,a,1,0,.,,0,0,
GD,10,E,I,a,1,0,.,,0,0,
LE,10,E,I,a,0,.,.,,0,0,
NG,10,E,I,a,0,.,.,,0,0,
SS,10,E,I,a,0,.,.,,0,0,
AB,10,E,I,b,1,1,11-100,,0,0,
AV,10,E,I,b,0,.,.,,0,0,
CB,10,E,I,b,1,1,11-100,,0,0,
GD,10,E,I,b,0,.,.,,0,0,
LE,10,E,I,b,1,1,11-100,,0,0,
NG,10,E,I,b,1,0,.,,0,0,
SS,10,E,I,b,1,1,"""1-10""",,0,0,
AB,10,E,I,c,1,1,300-400,,0,0,
AV,10,E,I,c,1,1,11-100,,0,0,
CB,10,E,I,c,0,.,.,,0,0,
GD,10,E,I,c,0,.,.,,0,0,
LE,10,E,I,c,1,1,11-100,,0,0,
NG,10,E,I,c,1,1,1,male or last yr,0,0,
SS,10,E,I,c,1,0,.,,0,0,
AB,10,E,I,d,1,1,200-300,,0,0,
AV,10,E,I,d,1,1,11-100,,0,0,
CB,10,E,I,d,1,1,"""1-10""",,0,0,
GD,10,E,I,d,0,.,.,,0,0,
LE,10,E,I,d,0,.,.,,0,0,
NG,10,E,I,d,1,1,1,male or last yr,0,0,
SS,10,E,I,d,1,0,.,,0,0,
AB,10,E,II,a,1,0,.,,0,0,
AV,10,E,II,a,1,0,.,,0,0,
CB,10,E,II,a,1,1,11-100,,0,0,
GD,10,E,II,a,1,0,.,,0,0,
LE,10,E,II,a,1,0,.,,0,0,
NG,10,E,II,a,1,0,.,,0,0,
SS,10,E,II,a,0,.,.,,0,0,
AB,10,E,II,b,1,1,100-200,,0,0,
AV,10,E,II,b,1,1,"""1-10""",,0,0,
CB,10,E,II,b,1,1,11-100,,0,0,
GD,10,E,II,b,0,.,.,,0,0,
LE,10,E,II,b,1,1,11-100,,0,0,
NG,10,E,II,b,1,0,.,,0,0,
SS,10,E,II,b,1,1,"""1-10""",,0,0,
AB,10,E,II,c,1,1,200-300,,0,0,
AV,10,E,II,c,1,1,11-100,,0,0,
CB,10,E,II,c,0,.,.,,0,0,
GD,10,E,II,c,0,.,.,,0,0,
LE,10,E,II,c,1,1,100-200,,0,0,
NG,10,E,II,c,1,0,.,,0,0,
SS,10,E,II,c,1,0,.,,0,0,
AB,10,E,II,d,1,1,200-300,,0,0,
AV,10,E,II,d,1,1,11-100,,0,0,
CB,10,E,II,d,1,1,"""1-10""",,0,0,
GD,10,E,II,d,0,.,.,,0,0,
LE,10,E,II,d,0,.,.,,0,0,
NG,10,E,II,d,1,0,.,,0,0,
SS,10,E,II,d,0,.,.,,0,0,
AB,10,E,III,a,0,.,.,,0,0,
AV,10,E,III,a,0,.,.,,0,0,
CB,10,E,III,a,1,1,"""1-10""",,0,0,
GD,10,E,III,a,1,0,.,,0,0,
LE,10,E,III,a,1,0,.,,0,0,
NG,10,E,III,a,0,.,.,,0,0,
SS,10,E,III,a,1,0,.,,0,0,
AB,10,E,III,b,1,1,200-300,,3,0,
AV,10,E,III,b,1,1,11-100,,0,0,
CB,10,E,III,b,0,.,.,,0,0,
GD,10,E,III,b,1,0,.,,0,0,
LE,10,E,III,b,1,1,"""1-10""",,0,0,
NG,10,E,III,b,1,1,1,male or last yr,0,0,
SS,10,E,III,b,1,0,.,,0,0,
AB,10,E,III,c,1,1,100-200,,0,0,
AV,10,E,III,c,1,1,"""1-10""",,0,0,
CB,10,E,III,c,0,.,.,,0,0,
GD,10,E,III,c,1,0,.,,0,0,
LE,10,E,III,c,1,1,11-100,,0,0,
NG,10,E,III,c,1,0,.,,0,0,
SS,10,E,III,c,0,.,.,,0,0,
AB,10,E,III,d,1,1,100-200,,0,0,
AV,10,E,III,d,1,1,11-100,,0,0,
CB,10,E,III,d,1,1,100-200,,0,0,
GD,10,E,III,d,0,.,.,,0,0,
LE,10,E,III,d,0,.,.,,0,0,
NG,10,E,III,d,1,0,.,,0,0,
SS,10,E,III,d,0,.,.,,0,0,
AB,10,E,IV,a,1,0,.,,0,0,
AV,10,E,IV,a,1,1,"""1-10""",,0,0,
CB,10,E,IV,a,1,1,11-100,,0,0,
GD,10,E,IV,a,0,.,.,,0,0,
LE,10,E,IV,a,0,.,.,,0,0,
NG,10,E,IV,a,1,0,.,,0,0,
SS,10,E,IV,a,1,0,.,,0,0,
AB,10,E,IV,b,1,1,100-200,,0,0,
AV,10,E,IV,b,1,1,11-100,,0,0,
CB,10,E,IV,b,1,1,100-200,,0,0,
GD,10,E,IV,b,1,0,.,,0,0,
LE,10,E,IV,b,1,0,.,,0,0,
NG,10,E,IV,b,1,0,.,,0,0,
SS,10,E,IV,b,1,1,11-100,,0,0,
AB,10,E,IV,c,1,1,100-200,,0,0,
AV,10,E,IV,c,1,1,11-100,,0,0,
CB,10,E,IV,c,1,1,11-100,,0,0,
GD,10,E,IV,c,0,.,.,,0,0,
LE,10,E,IV,c,0,.,.,,0,0,
NG,10,E,IV,c,1,0,.,,0,0,
SS,10,E,IV,c,1,1,"""1-10""",,0,1,
AB,10,E,IV,d,1,1,200-300,,0,0,
AV,10,E,IV,d,1,1,11-100,,0,0,
CB,10,E,IV,d,1,1,100-200,,0,0,
GD,10,E,IV,d,1,0,.,,0,0,
LE,10,E,IV,d,0,.,.,,0,0,
NG,10,E,IV,d,1,0,.,,0,0,
SS,10,E,IV,d,0,.,.,,0,0,
AB,52,A,I,a,.,.,.,,.,.,
AV,52,A,I,a,.,.,.,,.,.,
CB,52,A,I,a,.,.,.,,.,.,
GD,52,A,I,a,.,.,.,,.,.,
LE,52,A,I,a,.,.,.,,.,.,
NG,52,A,I,a,.,.,.,,.,.,
SS,52,A,I,a,.,.,.,,.,.,
AB,52,A,I,b,.,.,.,,.,.,
AV,52,A,I,b,.,.,.,,.,.,
CB,52,A,I,b,.,.,.,,.,.,
